iter	Passed	Remaining
0	251	100486
1	255	50795
2	258	34177
3	260	25836
4	263	20828
5	266	17484
6	269	15105
7	271	13308
8	273	11903
9	276	10780
10	278	9849
11	280	9070
12	282	8410
13	284	7831
14	286	7349
15	289	6936
16	291	6565
17	293	6226
18	295	5923
19	297	5651
20	299	5412
21	301	5186
22	303	4976
23	305	4786
24	307	4614
25	310	4459
26	312	4315
27	315	4187
28	317	4055
29	319	3938
30	321	3826
31	323	3715
32	324	3610
33	326	3513
34	328	3424
35	330	3340
36	332	3259
37	333	3180
38	335	3102
39	336	3032
40	338	2964
41	339	2897
42	341	2837
43	344	2786
44	345	2728
45	347	2672
46	348	2617
47	349	2566
48	351	2516
49	352	2468
50	353	2421
51	355	2375
52	356	2332
53	357	2289
54	359	2254
55	361	2218
56	362	2181
57	363	2143
58	364	2107
59	365	2072
60	366	2038
61	367	2005
62	368	1972
63	369	1942
64	371	1912
65	373	1887
66	375	1866
67	376	1839
68	378	1813
69	379	1788
70	380	1762
71	381	1738
72	382	1713
73	383	1690
74	384	1667
75	385	1644
76	386	1622
77	387	1600
78	389	1580
79	390	1562
80	391	1542
81	392	1523
82	393	1504
83	395	1486
84	396	1467
85	397	1449
86	398	1432
87	399	1415
88	400	1399
89	401	1383
90	402	1367
91	403	1350
92	404	1335
93	406	1322
94	407	1307
95	408	1293
96	409	1278
97	410	1264
98	411	1251
99	412	1237
100	413	1223
101	414	1210
102	415	1197
103	416	1184
104	417	1172
105	418	1160
106	419	1148
107	420	1136
108	421	1125
109	422	1113
110	423	1102
111	424	1091
112	425	1080
113	426	1069
114	427	1059
115	428	1049
116	429	1038
117	430	1028
118	431	1019
119	432	1009
120	433	1000
121	434	990
122	435	981
123	437	972
124	438	964
125	439	956
126	440	947
127	442	939
128	444	934
129	446	927
130	447	919
131	448	910
132	449	903
133	451	895
134	452	888
135	453	880
136	454	872
137	455	865
138	456	857
139	458	850
140	459	843
141	460	836
142	461	829
143	462	822
144	463	815
145	464	808
146	465	801
147	466	794
148	467	788
149	469	782
150	470	775
151	471	769
152	472	762
153	473	756
154	474	749
155	475	743
156	476	737
157	477	731
158	478	725
159	479	718
160	480	713
161	481	707
162	482	701
163	483	695
164	484	689
165	485	684
166	486	678
167	487	673
168	488	668
169	489	662
170	491	657
171	492	652
172	493	646
173	494	641
174	495	636
175	496	631
176	497	626
177	498	621
178	499	616
179	500	611
180	501	606
181	502	601
182	503	596
183	504	591
184	505	587
185	506	582
186	507	577
187	508	572
188	509	568
189	510	563
190	511	559
191	512	555
192	513	550
193	514	546
194	515	542
195	516	537
196	518	533
197	519	529
198	520	525
199	521	521
200	522	517
201	523	513
202	524	509
203	525	505
204	526	501
205	527	497
206	528	493
207	530	489
208	531	485
209	532	481
210	533	477
211	534	474
212	535	470
213	536	466
214	538	463
215	541	461
216	542	457
217	543	453
218	544	450
219	546	446
220	547	443
221	548	439
222	549	436
223	550	432
224	551	429
225	552	425
226	553	422
227	555	418
228	556	415
229	557	411
230	558	408
231	559	405
232	560	401
233	561	398
234	562	395
235	563	391
236	565	388
237	566	385
238	567	382
239	568	378
240	569	375
241	570	372
242	571	369
243	572	366
244	573	362
245	574	359
246	575	356
247	576	353
248	578	350
249	579	347
250	580	344
251	581	341
252	582	338
253	583	335
254	585	332
255	586	329
256	587	326
257	588	323
258	589	321
259	590	318
260	591	315
261	593	312
262	594	309
263	595	306
264	596	303
265	597	300
266	598	298
267	599	295
268	600	292
269	601	289
270	602	286
271	603	284
272	604	281
273	605	278
274	606	275
275	607	273
276	608	270
277	609	267
278	611	264
279	612	262
280	613	259
281	614	256
282	615	254
283	616	251
284	617	249
285	618	246
286	619	243
287	620	241
288	621	238
289	623	236
290	624	233
291	625	231
292	626	228
293	627	226
294	628	223
295	629	221
296	630	218
297	631	216
298	632	213
299	633	211
300	634	208
301	636	206
302	637	203
303	638	201
304	639	199
305	640	196
306	641	194
307	642	191
308	643	189
309	644	187
310	645	184
311	646	182
312	647	179
313	648	177
314	649	175
315	650	172
316	651	170
317	652	168
318	653	166
319	654	163
320	655	161
321	656	159
322	657	156
323	658	154
324	659	152
325	660	150
326	661	147
327	662	145
328	663	143
329	665	141
330	666	138
331	667	136
332	668	134
333	669	132
334	670	130
335	671	127
336	672	125
337	673	123
338	674	121
339	674	119
340	675	116
341	676	114
342	677	112
343	678	110
344	679	108
345	680	106
346	681	104
347	682	101
348	683	99
349	684	97
350	685	95
351	686	93
352	687	91
353	688	89
354	689	87
355	690	85
356	691	83
357	692	81
358	693	79
359	694	77
360	695	75
361	696	73
362	697	71
363	698	69
364	699	67
365	700	65
366	701	63
367	702	61
368	703	59
369	704	57
370	705	55
371	706	53
372	707	51
373	709	49
374	710	47
375	711	45
376	712	43
377	713	41
378	714	39
379	716	37
380	717	35
381	718	33
382	720	31
383	721	30
384	723	28
385	725	26
386	726	24
387	727	22
388	728	20
389	729	18
390	730	16
391	731	14
392	732	13
393	733	11
394	734	9
395	735	7
396	737	5
397	738	3
398	739	1
399	740	0
